Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_A_011; Jeu de 7 forets SDS-PLUS 6/7/8/10/11/12/14X100X160 pour perforateur SDS-PLUS; NA; LONGLIFE; BOSCH; 6; 2000-01-01; 2; 2000-01-01; 0; NA; 6; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_012; Foret SDS-PLUS S4 16X400X450 QUADRO X double helice pour perforateur SDS-PLUS; NA; Quadro-X; BOSCH; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_013; Foret SDS-PLUS S4 18X400X450 QUADRO X double helice pour perforateur SDS-PLUS; NA; Quadro-X; BOSCH; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_014; Foret SDS-PLUS S4 20X400X450 QUADRO X double helice pour perforateur SDS-PLUS; NA; Quadro-X; BOSCH; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_015; Foret SDS-PLUS S4 22X400X450 QUADRO X double helice pour perforateur SDS-PLUS; NA; Quadro-X; BOSCH; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_016; Foret SDS-PLUS S4 24X400X450 QUADRO X double helice pour perforateur SDS-PLUS; NA; Quadro-X; BOSCH; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_017; Coffret d'embout de vissage (29 pieces + 1 porte embout) pour perceuse-visseuse DS14DVF; NA; Coffret 31 embouts; PINACOTTE; 2; 2000-01-01; 1; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_018; Foret SDS-MAX 25X450X570 QUADRO X pour DH38MSLA; NA; 750934; HITACHI; 1; 2000-01-01; 3; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_019; Foret SDS-MAX 30X450X570 QUADRO X pour DH38MSLA; NA; Quadro-X; BOSCH; 1; 2000-01-01; 3; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_021; Foret SDS-MAX 40X450X570 QUADRO X pour DH38MSLA; NA; Quadro-X; BOSCH; 1; 2000-01-01; 3; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_022; Boite de 16 forets : 5 beton (4,5,6,8,10mm) + 5 bois (3,4,5,6,8 mm) 6 acier (2,3,4,5,6,8 mm) pour perceuse-visseuse ou perforateur; NA; BOX PERCU 23; HITACHI; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_035; Lot de 3 burins (pointu, plat, beche) SDS-PLUS 250mm longueur; NA; ; BOSCH; 2; 2000-01-01; 2; 2000-01-01; 0; NA; 2; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_037; Disque diamant 125mm pour meuleuse; NA; ; BOSCH; 1; 2000-01-01; 2; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
BRICO_A_038; burin special carrelage SDS-PLUS 250mm longueur 40; ; ; ; 1; 2000-01-01; 1; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage;  ; 
